target_pheno_group	phenotype	var.label	name_fixEffect_pThre	sex.group	ai_fix_eff_esti	ai_pvalue2sided	ai_R2	ai_SE	cpd_fix_eff_esti	cpd_pvalue2sided	cpd_R2	cpd_SE	dpw_fix_eff_esti	dpw_pvalue2sided	dpw_R2	dpw_SE	sc_fix_eff_esti	sc_pvalue2sided	sc_R2	sc_SE	si_fix_eff_esti	si_pvalue2sided	si_R2	si_SE	signi.thres.T4
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_males-only	GSCAN_Q2_recode	Smoking initiation	S4	males	-0.0277941	0.00162882121787951	0.00320376968439247	0.00881385	0.0246259	0.00617149208447923	0.00248481422260821	0.00898626	0.0221598	0.0156129001187606	0.00202967968795967	0.00916009	0.0112151	0.237745409480517	0.000531293419642076	0.00949734	0.0833031	3.68890070797472e-21	0.0287144889723687	0.00875978	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_all-sexes	GSCAN_Q2_recode	Smoking initiation	S5	allSexes	-0.0327653	1.52296890462e-07	0.00443988204459917	0.00623539	0.0129793	0.037938745873856	0.000693085914440888	0.00625243	0.0214029	0.000563770737262882	0.00188967165907233	0.00620384	0.00063288	0.927504306943409	1.71140607047315e-06	0.00695562	0.0893913	7.50111065461677e-47	0.0326711034316343	0.0061761	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_females-only	GSCAN_Q2_recode	Smoking initiation	S5	females	-0.0286018	0.000490640967036058	0.00338321708884843	0.00819909	0.0056375	0.498310958251299	0.000130754800114176	0.00832465	0.0173187	0.0318589220235026	0.00123729051466416	0.008067	-0.00429209	0.633332411910341	7.87132718889687e-05	0.00899668	0.0852945	2.37208496434978e-25	0.029745094401087	0.00814742	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_males-only	GSCAN_Q2_recode	Smoking initiation	S5	males	-0.0413373	4.98595567118499e-06	0.00706687400270965	0.00903867	0.0224837	0.0113305822449145	0.00207979291829356	0.00887337	0.025752	0.00462936015523871	0.00273566574448438	0.00908744	0.0096892	0.318915776820651	0.000401130944513431	0.00971984	0.0938588	7.01563784574201e-26	0.0360183066287885	0.00884252	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_all-sexes	GSCAN_Q2_recode	Smoking initiation	S6	allSexes	-0.0345433	3.52900547814283e-08	0.00498464563131554	0.00625935	0.0115829	0.0646562445765914	0.000552418345457893	0.00626815	0.0239846	0.000108826658688316	0.00234743788653344	0.00619426	0.00537566	0.44758728678024	0.000124104921967159	0.00707805	0.0905772	6.12122471391593e-48	0.0334917404376247	0.00618281	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_females-only	GSCAN_Q2_recode	Smoking initiation	S6	females	-0.0317397	0.000108994268642392	0.00420835410066485	0.00819481	0.00234066	0.778643307574998	2.25584962329352e-05	0.00832665	0.0170244	0.0337922435137799	0.00118269505024763	0.00801826	0.00177801	0.845309283240785	1.35766874135904e-05	0.00911247	0.0848957	3.85428478320389e-25	0.0294219410804963	0.00814605	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_males-only	GSCAN_Q2_recode	Smoking initiation	S6	males	-0.0434461	1.8853416826601e-06	0.00788511869412946	0.00909978	0.0237854	0.00762813932553947	0.00232945538857766	0.00890893	0.0334921	0.000247701641244046	0.00457734775292983	0.00912873	0.0118869	0.229762287698423	0.000606823846328074	0.0098958	0.0950679	2.9373106890747e-26	0.0368950187648716	0.00888615	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_all-sexes	GSCAN_Q2_recode	Smoking initiation	S7	allSexes	-0.0375246	3.42137226881991e-09	0.00589038191515673	0.0063418	0.0119769	0.0590500092111208	0.000595371721506857	0.00634334	0.0233971	0.000172313281865856	0.00222325711050385	0.00622533	0.00961086	0.179575328910387	0.00039725951297114	0.00716059	0.0850206	1.566716527541e-42	0.0295669706940708	0.00618154	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_females-only	GSCAN_Q2_recode	Smoking initiation	S7	females	-0.0378403	5.71175656306333e-06	0.00598991214803045	0.00833058	0.00191399	0.819685442915177	1.52047290325804e-05	0.00839605	0.0191507	0.01727450134264	0.00148948088271266	0.00804073	0.0057606	0.530911188009945	0.000142720133739546	0.00919247	0.0803496	9.90216425941955e-23	0.0264074178838761	0.00814305	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_males-only	GSCAN_Q2_recode	Smoking initiation	S7	males	-0.0429716	2.96691338632255e-06	0.00772457083412721	0.0091787	0.0252267	0.00529059968688194	0.00264131526408771	0.0090394	0.0294671	0.00144560839492342	0.00352647184895942	0.00924245	0.0157569	0.113239373578778	0.00106780355267333	0.009946	0.089685	7.8128515415625e-24	0.0329001686939799	0.00883676	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_all-sexes	GSCAN_Q2_recode	Smoking initiation	S8	allSexes	-0.0377583	2.85464940000234e-09	0.00597080575092449	0.00634925	0.0120611	0.0572577373031095	0.000603035317307695	0.00634251	0.0216238	0.000505326283045635	0.0018992028227292	0.00621476	0.00828692	0.247632931421906	0.000296243731366775	0.00716733	0.0838043	1.87634051605214e-41	0.0287829901923241	0.0061763	0.000714285714285714
