target_pheno_group	phenotype	var.label	name_fixEffect_pThre	name_fix_eff2	ai_fix_eff_esti	ai_pvalue2sided	ai_R2	ai_SE	cpd_fix_eff_esti	cpd_pvalue2sided	cpd_R2	cpd_SE	dpw_fix_eff_esti	dpw_pvalue2sided	dpw_R2	dpw_SE	sc_fix_eff_esti	sc_pvalue2sided	sc_R2	sc_SE	si_fix_eff_esti	si_pvalue2sided	si_R2	si_SE	signi.thres.T4
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q2_recode	Smoking initiation	S6	sexPRS	0.0097654	0.3678555878656	0.00110273274818142	0.0108438	-0.0186019	0.0871208682804429	0.00392681065193991	0.0108719	-0.0197197	0.0727222059895616	0.00442075130516897	0.010987	-0.00737989	0.494455623190323	0.000643220619773681	0.0108008	-0.0133833	0.218920337837117	0.00200117075030548	0.0108851	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q2_recode	Smoking initiation	S7	PRS	-0.0441916	0.0156728195362341	0.00816941132136416	0.0182837	0.0452563	0.0130833080249489	0.00850075393910929	0.0182332	0.0476297	0.0116553310968771	0.00921342955487406	0.018878	0.0211475	0.252175304400608	0.00192339229126361	0.0184667	0.104085	9.48562894984006e-09	0.0443133714129819	0.0181139	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q2_recode	Smoking initiation	S7	sexPRS	0.0042133	0.697486102779414	0.00020493460342934	0.0108386	-0.0211882	0.0515956892484558	0.00512469716986273	0.0108836	-0.0150855	0.173898509804347	0.00258260539979163	0.011093	-0.00724608	0.497919807178636	0.000622546029116152	0.0106906	-0.0120943	0.262869513588918	0.00163622302964311	0.0108012	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q2_recode	Smoking initiation	S8	PRS	-0.0425423	0.0199493405295076	0.00757966495082375	0.0182758	0.0467997	0.0103845219820347	0.00907935609226332	0.0182569	0.0444099	0.0187467939677697	0.00801063429920496	0.0188895	0.0194607	0.291494119150829	0.00163372814991578	0.0184475	0.103213	1.21016042455157e-08	0.043658831402709	0.0180929	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q2_recode	Smoking initiation	S8	sexPRS	0.00302434	0.780159040247365	0.000105612583282502	0.0108352	-0.0220803	0.0424827687313987	0.00556578733110646	0.0108818	-0.0141799	0.201423419417309	0.00228372007517194	0.0110987	-0.00702213	0.510941024696145	0.000585852773181833	0.0106816	-0.0123123	0.253765427963958	0.00169843730617909	0.0107876	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q4	Age at starting regular smoking	S1	PRS	0.164833	0.519714819305111	0.00201529793361708	0.255993	-0.115391	0.654010835568873	0.000995152552594394	0.257418	-0.0384949	0.878374699543827	0.000113713369095679	0.25152	0.34426	0.170477232048868	0.00888643723812499	0.251073	0.292428	0.240792501869693	0.00643966089629183	0.249225	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q4	Age at starting regular smoking	S1	sexPRS	0.0115893	0.939937678411938	2.75160290974353e-05	0.153791	0.0562934	0.712310748972761	0.000657048491102193	0.152637	-0.00566106	0.969552224323202	6.72743357591966e-06	0.148294	-0.172466	0.25308795915922	0.00616114614520227	0.150862	-0.223438	0.135753325968284	0.0103712868297765	0.149719	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q4	Age at starting regular smoking	S2	PRS	0.136518	0.592403709682899	0.00135725375638289	0.254964	-0.0301086	0.906326783021259	6.74980681865011e-05	0.255835	-0.203855	0.425605302036591	0.00318318480320801	0.255812	0.475386	0.0654118092717488	0.0169416090125006	0.257882	-0.0585693	0.819421805544039	0.000256318472104237	0.256525	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q4	Age at starting regular smoking	S2	sexPRS	0.00464086	0.975876779755221	4.29144727682453e-06	0.153456	-0.01626	0.915126300675767	5.43617727988451e-05	0.15255	0.0190292	0.900523757495939	7.56468855085375e-05	0.152215	-0.226198	0.140975433442262	0.0106668034695868	0.15359	-0.0631051	0.681452080844528	0.000818312313110375	0.153712	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q4	Age at starting regular smoking	S3	PRS	-0.0217909	0.932333038423959	3.54580006356457e-05	0.256604	0.0294263	0.907328268145179	6.45072156089955e-05	0.252752	0.159032	0.536398247676332	0.00190080104646916	0.257178	0.244661	0.354856164125914	0.00447013355698418	0.264378	-0.0358729	0.8911706873983	9.53335311547418e-05	0.262152	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q4	Age at starting regular smoking	S3	sexPRS	0.0319529	0.834907868097392	0.000209659955185754	0.153297	0.00511679	0.973155630931877	5.40091525182155e-06	0.152037	-0.211348	0.165010814641257	0.00924747751493829	0.152168	-0.110872	0.482358888739146	0.00254516023792691	0.157793	-0.0650052	0.678605680549942	0.000863976603872524	0.156856	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q4	Age at starting regular smoking	S4	PRS	0.534526	0.0325169338347137	0.0214847889467876	0.249842	-0.28565	0.263199579550969	0.00606199430736283	0.255234	-0.128346	0.619942224887357	0.00123451927537496	0.258758	0.144468	0.576626916590663	0.00159848595094114	0.258714	-0.00790177	0.975503450918937	4.68451786995701e-06	0.257299	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q4	Age at starting regular smoking	S4	sexPRS	-0.238351	0.108669063539123	0.0117455479911394	0.148514	0.186993	0.223968368490906	0.00718801571209203	0.153725	0.0109125	0.942966392192131	2.47251044197688e-05	0.152514	-0.0746116	0.627367236710404	0.00117691222521676	0.153677	-0.107563	0.488840200982601	0.00236515415854422	0.155375	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q4	Age at starting regular smoking	S5	PRS	0.339378	0.187007668662858	0.00863670076947228	0.257119	-0.177862	0.494922975915031	0.00235987087701869	0.260557	-0.331897	0.210781225047573	0.00823920151526337	0.265133	-0.0366954	0.884581737119668	0.000104320808364017	0.252755	-0.318295	0.222439887820927	0.00751052498960285	0.260804	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q4	Age at starting regular smoking	S5	sexPRS	-0.097321	0.523570352875687	0.00195358357196764	0.15255	0.158023	0.309465210591156	0.00511897647735865	0.155443	0.113613	0.46720529730866	0.00267776687563351	0.15624	-0.0383502	0.800092523895601	0.000313075949688173	0.151426	0.0658417	0.67356810480767	0.000879932019505247	0.156276	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q4	Age at starting regular smoking	S6	PRS	0.167987	0.514623370034936	0.00213744700150299	0.25774	-0.101058	0.696817287612257	0.00076245153545471	0.259339	-0.0793108	0.763207087050657	0.000465405141909512	0.263218	-0.0264162	0.918389744440686	5.43379781671968e-05	0.257782	-0.178362	0.493057113044084	0.00235473461239398	0.260163	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q4	Age at starting regular smoking	S6	sexPRS	0.0151575	0.92111919419876	4.817067345874e-05	0.15305	0.0903469	0.556963756285303	0.00167953565178787	0.153794	-0.0557558	0.718683949977303	0.000640785898763319	0.154762	-0.0349037	0.819637326292597	0.000260879817395868	0.153059	0.00670262	0.965736516380778	9.10089874641789e-06	0.156015	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q4	Age at starting regular smoking	S7	PRS	0.169626	0.505984321657272	0.00218239581105053	0.254992	0.0153789	0.952442081764514	1.77986584174974e-05	0.257829	-0.0469309	0.863638614572877	0.000162188762228597	0.273226	-0.0355739	0.889667166431566	9.86847692579559e-05	0.256402	-0.149009	0.567617924825409	0.00164672419483604	0.260662	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q4	Age at starting regular smoking	S7	sexPRS	-0.0157487	0.917576117578659	5.1915532814212e-05	0.152161	0.00940853	0.951035045267698	1.83214986142227e-05	0.153197	-0.0316266	0.842694136745653	0.000205816891362572	0.159349	-0.00984372	0.94826058578332	2.08315261602772e-05	0.151677	-0.0160896	0.917712351080274	5.25059943867082e-05	0.155713	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q4	Age at starting regular smoking	S8	PRS	0.127998	0.615591283846325	0.00124409003313876	0.254882	0.0375845	0.884702007950816	0.000106175381866964	0.259151	-0.025282	0.925891895734672	4.70725294297359e-05	0.271773	-0.040997	0.872654822601413	0.000131463260374378	0.25574	-0.149175	0.567332226626279	0.00165360875639354	0.26076	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q4	Age at starting regular smoking	S8	sexPRS	-0.00322525	0.983071447688347	2.1778029048712e-06	0.151984	0.00162126	0.991581590461878	5.44075751288911e-07	0.153639	-0.0418607	0.792094442932507	0.00036086675346848	0.158788	-0.00477358	0.974845124954845	4.90881354606891e-06	0.151369	-0.0121695	0.93772406253882	3.00852745506924e-05	0.155739	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q1	Cigarettes per day	S1	PRS	-0.227423	0.00385368109822399	0.0442849706142174	0.0786102	0.0372531	0.635956011373194	0.00119731185478992	0.078688	0.0725099	0.335918684628867	0.00465732351504875	0.0753368	0.0416651	0.585477876188248	0.00150257467588764	0.076382	0.169689	0.0262935434660863	0.0250304772427421	0.0763201	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q1	Cigarettes per day	S1	sexPRS	0.139495	0.00299111948709924	0.0460177405406635	0.0469357	0.028945	0.534439265483002	0.00200523939961607	0.0465845	-0.042477	0.340826448428736	0.00437218202573422	0.0445838	-0.00787527	0.863644076501348	0.000148293492090076	0.045851	-0.0798537	0.0805877801453849	0.0152913321283784	0.04568	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q1	Cigarettes per day	S2	PRS	-0.0799761	0.310763280923454	0.00537697876141485	0.0788827	0.0556807	0.474704336602161	0.00266474865184788	0.0778782	0.120751	0.120503810702912	0.0128925031996848	0.0777394	0.04175	0.596538672607843	0.00150838254376339	0.0788534	0.114414	0.142632416215323	0.0112910631331578	0.0780133	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q1	Cigarettes per day	S2	sexPRS	0.0393143	0.404820543153708	0.0035550408893955	0.0471843	0.0231095	0.618061673770135	0.0012675651366782	0.0463421	-0.0618931	0.179691250512762	0.00923785456573866	0.0461151	-0.00506223	0.914068969250552	6.16704585407483e-05	0.0469071	-0.0233454	0.616588060919852	0.00129279440963435	0.0466195	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q1	Cigarettes per day	S3	PRS	0.0610962	0.439153034915212	0.00321757712372482	0.0789593	0.120973	0.119118862669771	0.0125849223537652	0.0775913	0.0394925	0.61198723855195	0.00135311133933414	0.0778464	-0.000958052	0.990548077109487	7.91235617132396e-07	0.0808627	0.0154811	0.845971444034757	0.000204952394517412	0.0796826	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q1	Cigarettes per day	S3	sexPRS	-0.0647095	0.16776074913456	0.00992584925618747	0.0468943	-0.00377088	0.935346993712536	3.38605695786571e-05	0.0464801	-0.0226321	0.621995496090668	0.00122409004164169	0.045898	0.0273076	0.569089887589108	0.0017822765402392	0.0479518	0.059337	0.212778455604333	0.00830985821441165	0.0476093	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q1	Cigarettes per day	S4	PRS	-0.0342499	0.654335477015215	0.00101823658477109	0.0764831	0.129031	0.098216449062065	0.0142781471186114	0.0779982	0.0867124	0.274451651836294	0.00650477488544503	0.0793236	-0.0988563	0.213585940649745	0.00863994275016032	0.0794579	0.0367034	0.637877340724608	0.00116671661791997	0.0779703	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q1	Cigarettes per day	S4	sexPRS	-0.0193514	0.66934226912155	0.000893718537138308	0.0453078	0.00184252	0.968551573224836	8.05599892512037e-06	0.0467294	-0.0475963	0.30627447148295	0.00542966038727769	0.0465119	0.0861015	0.0665836921465008	0.0180921200765388	0.0469114	0.0347661	0.458272252764587	0.00285221493028261	0.0468654	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q1	Cigarettes per day	S5	PRS	-0.0171929	0.826994886202	0.00025586768181881	0.0786558	0.125635	0.113015543366766	0.0135918898023447	0.0792434	0.103059	0.206108412360521	0.00917037252872367	0.0814875	-0.113684	0.144679320467171	0.0115580093711716	0.0779129	0.0782592	0.32155379598191	0.00524104790720901	0.0789302	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q1	Cigarettes per day	S5	sexPRS	-0.0347344	0.454108889832222	0.00287259983041735	0.0463918	0.0160632	0.73331686742784	0.000610581049927387	0.0471392	-0.0569724	0.233417055316516	0.00777288778555542	0.0477981	0.101045	0.0293639439459915	0.0250888500394854	0.0463504	0.0254532	0.589528898583941	0.00151798852662238	0.0471705	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q1	Cigarettes per day	S6	PRS	-0.000336661	0.996600415358075	9.90983180760272e-08	0.0790051	0.111999	0.156154130077093	0.0108102514086956	0.0789491	0.115085	0.158127735443858	0.0113120318436516	0.0815114	-0.0936833	0.240346805540397	0.00788903361483456	0.0797681	0.0889553	0.261136717014188	0.00676110400669533	0.0791414	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q1	Cigarettes per day	S6	sexPRS	-0.0489048	0.294649120768787	0.00578851545949277	0.0466545	0.0233565	0.616651019430093	0.00129573115859571	0.04665	-0.0706804	0.138478962900641	0.0118868696154208	0.0476916	0.0925525	0.0491054692311818	0.0211743708394364	0.0470098	0.00867494	0.854496157110857	0.000175980563769831	0.0472989	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q1	Cigarettes per day	S7	PRS	-0.0541161	0.490663819549153	0.00256411983125564	0.0785006	0.106733	0.175244219042712	0.00989625356517642	0.0787121	0.140009	0.0966782384866713	0.0166629372992752	0.0842462	-0.089557	0.260679924693753	0.00721976236489922	0.0796004	0.0604165	0.444310539832796	0.0031249541524341	0.078968	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q1	Cigarettes per day	S7	sexPRS	-0.0168585	0.717138618957093	0.00068672429912641	0.0465276	0.014901	0.748832550208162	0.000530499445544295	0.0465336	-0.0887295	0.0699931005466753	0.018700306729676	0.0489445	0.0808528	0.0836852046848909	0.0162229329218729	0.0467223	0.02244	0.63366010095451	0.00117896457878421	0.0470786	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q1	Cigarettes per day	S8	PRS	-0.0497154	0.526828752846441	0.00216652636400298	0.0785446	0.101661	0.199022714126887	0.00896709335584117	0.0791298	0.136331	0.103879835740804	0.015800490938663	0.0837919	-0.0878376	0.268368935772928	0.00696623023549661	0.0793393	0.0717904	0.364051596341659	0.00442089373083556	0.0790761	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q1	Cigarettes per day	S8	sexPRS	-0.0173426	0.70929741995513	0.000726870224214323	0.0465137	0.0177355	0.703995881373675	0.000751584070591901	0.0466745	-0.0863497	0.0768361471350824	0.0177252441014724	0.0487797	0.0790596	0.089957604310893	0.0155429700508895	0.0466047	0.0160053	0.734147800906243	0.000600720988147724	0.0471219	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q3_recode	Smoking cessation	S1	PRS	-0.0476554	0.0660849663691278	0.00929015779822999	0.0259218	0.0369426	0.148632528106993	0.00562533798535424	0.0255711	0.0111645	0.658256498791586	0.000527511109321971	0.0252385	0.048742	0.0581595079286371	0.00982447062739015	0.0257197	0.00834913	0.74261782100334	0.000289504591461511	0.0254225	0.000714285714285714
