target.phenotype	p.value.threshold	Freq_ai_allSexes	Freq_cpd_allSexes	Freq_dpw_allSexes	Freq_sc_allSexes	Freq_si_allSexes	Freq_ai_females	Freq_cpd_females	Freq_dpw_females	Freq_sc_females	Freq_si_females	Freq_ai_males	Freq_cpd_males	Freq_dpw_males	Freq_sc_males	Freq_si_males
SU_cannabis_use_disorder_onset	S5	0.00984489336598097	0.0152093654218373	0.0828650956370777	-0.00228767136463047	-0.107179314894009	0.0229695233327562	0.10251869107127	-0.0652338004596818	0.0779818563931403	-0.0683625199061894	-0.00740840043358464	-0.0569100355221948	0.192578515623895	-0.0630284766282263	-0.116342362650499
SU_DSM4alcoholAbuse_ori	S6	-0.00543043482104133	-0.0287811688105285	0.0263536206275121	-0.056713577784269	0.0609180261138349	-0.0363689126223641	-0.000635453432153498	0.0278324489989886	-0.0731779123940131	0.059409754697354	0.0295065802507841	-0.051644183469083	0.0238245699456918	-0.0142548681616964	0.0702046508328875
SU_DSM4alcoholDepend_ori	S6	-0.0265771098815423	-0.02862369857673	0.0249572505609105	-0.0469017055631727	0.0496775877690482	-0.0492262190286462	-0.0232033423595704	0.00252824151719369	-0.0564996383339074	0.0575113796634335	-0.00694683687410724	-0.0192531112461117	0.0523998964186742	-0.0105066978514495	0.0484746192349418
SU_DSM4cannabisAbuse_ori	S6	-0.0256573888285206	0.00687952407475245	0.0427093798816267	-0.0241282727463715	0.048664043423061	-0.000142548345323826	-0.032914760459881	0.00966199632521624	-0.00723519768849819	0.0652071757077287	-0.0609164454231215	0.0619643200576935	0.0769389478353544	-0.0170055083553406	0.0407772930611918
SU_DSM4cannabisDepend_ori	S6	-0.0290324738434679	-0.000859569385113248	0.00120909308144286	-0.0040078717132196	0.0653738764436052	-0.00721486121386112	-0.0280567970189734	-0.00925959497783086	0.00777985341664038	0.0827803307922756	-0.0588264452369053	0.0374782421478733	0.0114388325188838	0.00100250441959332	0.0553048273356821
SU_DSM5alcoholUD_ori	S6	-0.0424136091096627	-0.0123216930916468	0.0463063600049979	-0.0598783440687688	0.0892311282437332	-0.0760313114683728	0.00808409024204235	0.032854105189332	-0.0689196713188685	0.0807740079377188	-0.00880122553699195	-0.0180268911261585	0.0675647282342077	-0.0154291243307385	0.108784656159689
SU_DSM5alcoholUD_0or1vs2or3	S6	-0.0333520997409985	-0.022754408507182	0.0568324940215385	-0.0310529083374091	0.0632330797706419	-0.0626830306133892	-0.00188139734073848	0.0379684111539126	-0.051312846390764	0.0512000951987808	-0.00502478573667599	-0.0310552076478233	0.0810998857738731	0.0204273560119301	0.0868318925396407
SU_DSM5cannabisUD_ori	S6	-0.0458096080029055	-0.00194658733987619	0.0416727868727618	-0.00600605943681934	0.0607180236174245	-0.0214866231855266	-0.0479019689441428	0.0152943496742782	0.0251193974625561	0.0878252980998527	-0.0812351557154822	0.0610886023110035	0.0693927770632422	-0.0132669200005352	0.0401146062664899
SU_DSM5cannabisUD_0or1vs2or3	S6	-0.055535047961341	0.0147355000697134	0.0208921446034861	-0.00753436322544594	0.0740934588054806	-0.0417190530395351	-0.0303836353087517	0.00253298605314744	0.0124372461407027	0.102421270850096	-0.0792518802680198	0.0735094818689107	0.0393602978222645	-0.00591195740695683	0.0563501104663953
SU_cannabis_ever	S6	-0.00419866101116947	-0.0502586423237829	0.0583412833290888	-0.0409774939460254	0.084126675608941	-0.0260305502400167	-0.0404682673157104	0.0313427306136208	-0.0284027282937852	0.0907048364784966	0.0239018692021034	-0.0456494438911041	0.0938851786132907	-0.0373164735580996	0.0822895035893086
SU_cannabis_onset	S6	0.0207024754464239	-0.0249579582126237	0.0374328469950654	-0.0293858983768747	-0.0698899745656165	0.00966981221210357	-0.00713947796144423	0.00434031540991898	-0.00265504340828125	-0.0621260262302551	0.0284944544236162	-0.0252178997038232	0.0678941352756811	-0.0305837726499066	-0.0589354550482775
SU_cannabis_abuse_onset	S6	0.0316075277048473	0.0517251746183049	0.0995655685946417	0.0214247447362825	-0.0650870281367025	0.154815609289755	0.0656105612666199	-0.0270831860840687	0.107652787945597	-0.124803380291998	-0.0536287070839049	0.0305729983638796	0.195485807204983	-0.0361219539008088	-0.0303392167020332
SU_cannabis_dependence_onset	S6	0.042540971542491	-0.105888769393708	0.0736536439305998	0.0708336964360234	-0.101808220753363	0.0570725594728372	0.00198187207930078	0.0610095215763131	0.0415121854448136	-0.137043776078136	0.0306450872319132	-0.192480410176731	0.0902229312706615	0.108487789138161	-0.0615072304332024
SU_cannabis_use_disorder_onset	S6	0.0036224359426455	0.0126347576849435	0.0646221546096166	0.00292301495953592	-0.0869721304037348	-0.00653784299435298	0.114829906931065	-0.049758445687947	0.0806147033235976	-0.0807622844295649	0.0127577420779995	-0.0723851146029092	0.15514642266276	-0.0576602953716393	-0.0791064232984501
SU_DSM4alcoholAbuse_ori	S7	-0.000596370839689723	-0.0382830728103895	0.015798060294504	-0.063178671920763	0.0578174405195436	-0.0181011686189669	-0.00204825766240525	0.0219570753886825	-0.0760693282453515	0.0779201635737736	0.0237172174417036	-0.0660830843558362	0.0107429103251945	-0.0232417997267523	0.0457858083881061
SU_DSM4alcoholDepend_ori	S7	-0.0205807760981257	-0.0310263709292468	0.0226230832663061	-0.0523371541237679	0.0220693340170845	-0.0348150197314878	-0.0285044221714212	-0.00253046512747399	-0.058612065216982	0.0333985819109485	-0.00368559558139852	-0.0133200096172079	0.0561797927748786	-0.0178818183422721	0.0221214319011447
SU_DSM4cannabisAbuse_ori	S7	-0.0277677886718648	0.00113959595980857	0.0459513855446008	-0.0398459078336647	0.0472787501748099	-0.00435641647912773	-0.0176029821498992	0.0236943163128857	-0.0276439484641217	0.0725501538519422	-0.0537509788743336	0.0392204506082679	0.0716047666957564	-0.0248396188875518	0.0350289520699798
SU_DSM4cannabisDepend_ori	S7	-0.035234577604793	-0.0104183952003591	0.00766363066245546	-0.0222659539676323	0.0593051094581078	-0.00275770019920871	-0.0288728968824469	-0.0114388507584148	-0.0182994707527979	0.0815516968809445	-0.0718075922085624	0.0216695186081325	0.0271190298120756	-0.00821282472407806	0.0491355691808366
